,Unnamed: 0,area_fips,year,lq_annual_avg_estabs,lq_annual_avg_emplvl,lq_total_annual_wages,annual_avg_estabs,annual_avg_emplvl,total_annual_wages,State Name
0,0,C1018,1990,2.68,2.58,1.7,14,351,5471271,Texas
1,1,C1018,1991,2.78,2.44,1.71,15,334,5509698,Texas
2,2,C1018,1992,2.43,2.23,1.61,13,307,5447537,Texas
3,3,C1018,1993,2.22,2.27,1.65,12,315,5688036,Texas
4,4,C1018,1994,2.35,2.27,1.53,13,320,5635970,Texas
5,5,C1018,1995,2.52,2.28,1.51,14,335,5936830,Texas
6,6,C1018,1996,2.84,2.23,1.43,16,340,6234546,Texas
7,7,C1018,1997,2.32,2.13,1.4,13,330,6436209,Texas
8,8,C1018,1998,2.6,2.12,1.44,14,330,7192558,Texas
9,9,C1018,1999,2.66,2.28,1.47,14,354,7847670,Texas
10,10,C1018,2000,2.31,2.3,1.41,12,364,7983734,Texas
11,11,C1018,2001,0.0,0.0,0.0,0,0,0,Texas
12,12,C1018,2002,2.46,2.1,1.24,12,329,7146850,Texas
13,13,C1018,2003,0.0,0.0,0.0,0,0,0,Texas
14,14,C1018,2004,3.9,0.0,0.0,18,0,0,Texas
15,15,C1018,2005,3.34,0.0,0.0,15,0,0,Texas
16,16,C1018,2006,2.9,0.0,0.0,13,0,0,Texas
17,17,C1018,2007,2.86,0.0,0.0,13,0,0,Texas
18,18,C1018,2008,2.96,0.0,0.0,13,0,0,Texas
19,19,C1018,2009,2.75,0.0,0.0,12,0,0,Texas
20,20,C1018,2010,2.94,0.0,0.0,13,0,0,Texas
21,21,C1018,2011,2.54,0.0,0.0,11,0,0,Texas
22,22,C1018,2012,2.52,0.0,0.0,11,0,0,Texas
23,23,C1018,2013,2.78,0.0,0.0,12,0,0,Texas
24,24,C1018,2014,2.79,0.0,0.0,12,0,0,Texas
25,25,C1018,2015,2.58,0.0,0.0,11,0,0,Texas
26,26,C1018,2016,3.08,0.0,0.0,13,0,0,Texas
27,27,C1018,2017,2.41,1.73,1.02,10,215,8133358,Texas
28,28,C1018,2018,2.46,1.66,0.81,10,207,6975360,Texas
29,29,C1038,1990,1.34,0.54,0.33,6,58,437790,Puerto Rico
30,30,C1038,1991,1.39,0.62,0.34,6,66,486550,Puerto Rico
