,area_fips,year,lq_annual_avg_estabs,lq_annual_avg_emplvl,lq_total_annual_wages,annual_avg_estabs,annual_avg_emplvl,total_annual_wages
0,C1018,1990,0.96,0.74,0.58,15,305,5363136
1,C1018,1991,0.85,0.7,0.58,14,288,5606469
2,C1018,1992,0.79,0.68,0.57,13,283,5872976
3,C1018,1993,0.71,0.64,0.58,12,275,6154371
4,C1018,1994,0.68,0.64,0.57,12,274,6410335
5,C1018,1995,0.7,0.61,0.59,13,275,7193325
6,C1018,1996,0.68,0.57,0.5,13,266,6742077
7,C1018,1997,0.57,0.59,0.45,11,280,6825555
8,C1018,1998,0.58,0.63,0.46,11,304,7919519
9,C1018,1999,0.48,0.65,0.45,9,315,8627867
10,C1018,2000,0.54,0.66,0.47,10,316,9509154
11,C1018,2001,0.0,0.0,0.0,0,0,0
12,C1018,2002,0.57,0.62,0.53,10,282,9712883
13,C1018,2003,0.53,0.62,0.57,9,270,10309980
14,C1018,2004,0.55,0.61,0.63,9,261,11011822
15,C1018,2005,0.56,0.58,0.55,9,245,9892173
16,C1018,2006,0.56,0.0,0.0,9,0,0
17,C1018,2007,0.54,0.0,0.0,9,0,0
18,C1018,2008,0.56,0.0,0.0,9,0,0
19,C1018,2009,0.64,0.0,0.0,10,0,0
20,C1018,2010,0.58,0.44,0.29,9,163,6070621
21,C1018,2011,0.59,0.44,0.29,9,159,6397795
22,C1018,2012,0.64,0.44,0.27,10,157,6205987
23,C1018,2013,0.63,0.46,0.27,10,164,6424275
24,C1018,2014,0.61,0.0,0.0,10,0,0
25,C1018,2015,0.64,0.39,0.19,11,135,5017469
26,C1018,2016,0.55,0.39,0.2,10,130,5048507
27,C1018,2017,0.52,0.36,0.16,10,120,4582680
28,C1018,2018,0.48,0.32,0.16,10,109,4979027
29,C1038,2004,0.06,0.0,0.0,1,0,0
30,C1038,2005,0.06,0.0,0.0,1,0,0
31,C1038,2006,0.06,0.0,0.0,1,0,0
32,C1038,2007,0.06,0.0,0.0,1,0,0
33,C1038,2008,0.06,0.0,0.0,1,0,0
34,C1038,2009,0.07,0.0,0.0,1,0,0
35,C1038,2010,0.07,0.0,0.0,1,0,0
36,C1038,2011,0.07,0.0,0.0,1,0,0
37,C1038,2012,0.08,0.0,0.0,1,0,0
38,C1038,2013,0.07,0.0,0.0,1,0,0
39,C1038,2014,0.07,0.0,0.0,1,0,0
40,C1038,2015,0.07,0.0,0.0,1,0,0
