area_fips,index,Unnamed: 0,year,lq_annual_avg_estabs,lq_annual_avg_emplvl,lq_avg_annual_pay,annual_avg_estabs,annual_avg_emplvl,avg_annual_pay,State Name,nearest_dist,nearest_location
C1018,0,0,1990,2.68,2.58,0.66,14,351,15595,Texas,512.1576379243769,Houston
C1018,1,1,1991,2.78,2.44,0.7,15,334,16488,Texas,512.1576379243769,Houston
C1018,2,2,1992,2.43,2.23,0.72,13,307,17754,Texas,512.1576379243769,Houston
C1018,3,3,1993,2.22,2.27,0.73,12,315,18081,Texas,512.1576379243769,Houston
C1018,4,4,1994,2.35,2.27,0.67,13,320,17635,Texas,512.1576379243769,Houston
C1018,5,5,1995,2.52,2.28,0.66,14,335,17722,Texas,512.1576379243769,Houston
C1018,6,6,1996,2.84,2.23,0.64,16,340,18314,Texas,512.1576379243769,Houston
C1018,7,7,1997,2.32,2.13,0.66,13,330,19509,Texas,512.1576379243769,Houston
C1018,8,8,1998,2.6,2.12,0.68,14,330,21785,Texas,512.1576379243769,Houston
C1018,9,9,1999,2.66,2.28,0.65,14,354,22142,Texas,512.1576379243769,Houston
C1018,10,10,2000,2.31,2.3,0.61,12,364,21913,Texas,512.1576379243769,Houston
C1018,11,11,2001,0.0,0.0,0.0,0,0,0,Texas,512.1576379243769,Houston
C1018,12,12,2002,2.46,2.1,0.59,12,329,21717,Texas,512.1576379243769,Houston
C1018,13,13,2003,0.0,0.0,0.0,0,0,0,Texas,512.1576379243769,Houston
C1018,14,14,2004,3.9,0.0,0.0,18,0,0,Texas,512.1576379243769,Houston
C1018,15,15,2005,3.34,0.0,0.0,15,0,0,Texas,512.1576379243769,Houston
C1018,16,16,2006,2.9,0.0,0.0,13,0,0,Texas,512.1576379243769,Houston
C1018,17,17,2007,2.86,0.0,0.0,13,0,0,Texas,512.1576379243769,Houston
C1018,18,18,2008,2.96,0.0,0.0,13,0,0,Texas,512.1576379243769,Houston
C1018,19,19,2009,2.75,0.0,0.0,12,0,0,Texas,512.1576379243769,Houston
C1018,20,20,2010,2.94,0.0,0.0,13,0,0,Texas,512.1576379243769,Houston
C1018,21,21,2011,2.54,0.0,0.0,11,0,0,Texas,512.1576379243769,Houston
C1018,22,22,2012,2.52,0.0,0.0,11,0,0,Texas,512.1576379243769,Houston
C1018,23,23,2013,2.78,0.0,0.0,12,0,0,Texas,512.1576379243769,Houston
C1018,24,24,2014,2.79,0.0,0.0,12,0,0,Texas,512.1576379243769,Houston
C1018,25,25,2015,2.58,0.0,0.0,11,0,0,Texas,512.1576379243769,Houston
C1018,26,26,2016,3.08,0.0,0.0,13,0,0,Texas,512.1576379243769,Houston
C1018,27,27,2017,2.41,1.73,0.59,10,215,37918,Texas,512.1576379243769,Houston
C1018,28,28,2018,2.46,1.66,0.49,10,207,33765,Texas,512.1576379243769,Houston
C1038,29,29,1990,1.34,0.54,0.61,6,58,7548,Puerto Rico,2431.1398437489984,Atlanta
C1038,30,30,1991,1.39,0.62,0.55,6,66,7409,Puerto Rico,2431.1398437489984,Atlanta
C1038,31,31,1992,1.56,0.67,0.5,7,73,7706,Puerto Rico,2431.1398437489984,Atlanta
C1038,32,32,1993,1.85,0.63,0.45,8,68,7490,Puerto Rico,2431.1398437489984,Atlanta
C1038,33,33,1994,1.84,0.67,0.5,8,74,7886,Puerto Rico,2431.1398437489984,Atlanta
C1038,34,34,1995,1.83,0.63,0.52,8,73,8581,Puerto Rico,2431.1398437489984,Atlanta
C1038,35,35,1996,1.74,0.54,0.47,8,64,8513,Puerto Rico,2431.1398437489984,Atlanta
C1038,36,36,1997,1.7,0.51,0.43,8,62,8342,Puerto Rico,2431.1398437489984,Atlanta
C1038,37,37,1998,1.5,0.46,0.42,7,55,9003,Puerto Rico,2431.1398437489984,Atlanta
C1038,38,38,1999,1.22,0.49,0.41,6,57,9465,Puerto Rico,2431.1398437489984,Atlanta
C1038,39,39,2000,1.24,0.48,0.39,6,57,9214,Puerto Rico,2431.1398437489984,Atlanta
C1038,40,40,2001,0.0,0.0,0.0,0,0,0,Puerto Rico,2431.1398437489984,Atlanta
C1038,41,41,2002,1.17,0.39,0.45,5,46,11581,Puerto Rico,2431.1398437489984,Atlanta
C1038,42,42,2003,1.36,0.42,0.44,6,50,11798,Puerto Rico,2431.1398437489984,Atlanta
C1038,43,43,2004,1.35,0.46,0.41,6,58,11166,Puerto Rico,2431.1398437489984,Atlanta
C1038,44,44,2005,1.71,0.45,0.41,8,57,11212,Puerto Rico,2431.1398437489984,Atlanta
C1038,45,45,2006,1.64,0.43,0.4,8,55,11426,Puerto Rico,2431.1398437489984,Atlanta
C1038,46,46,2007,1.43,0.4,0.34,7,51,10119,Puerto Rico,2431.1398437489984,Atlanta
C1038,47,47,2008,1.33,0.42,0.36,6,51,11018,Puerto Rico,2431.1398437489984,Atlanta
C1038,48,48,2009,1.5,0.38,0.35,6,44,11491,Puerto Rico,2431.1398437489984,Atlanta
C1038,49,49,2010,1.56,0.35,0.34,6,39,11122,Puerto Rico,2431.1398437489984,Atlanta
C1038,50,50,2011,1.82,0.38,0.32,7,41,11050,Puerto Rico,2431.1398437489984,Atlanta
C1038,51,51,2012,2.41,2.43,0.58,9,261,20824,Puerto Rico,2431.1398437489984,Atlanta
C1038,52,52,2013,2.52,2.26,0.51,10,251,18461,Puerto Rico,2431.1398437489984,Atlanta
C1038,53,53,2014,2.85,2.3,0.5,11,248,18516,Puerto Rico,2431.1398437489984,Atlanta
C1038,54,54,2015,2.67,2.37,0.57,10,249,21381,Puerto Rico,2431.1398437489984,Atlanta
C1038,55,55,2016,2.45,2.05,0.61,9,206,23301,Puerto Rico,2431.1398437489984,Atlanta
C1038,56,56,2017,2.75,1.89,0.69,10,184,25979,Puerto Rico,2431.1398437489984,Atlanta
C1038,57,57,2018,2.59,1.71,0.61,9,164,24091,Puerto Rico,2431.1398437489984,Atlanta
C1042,58,58,1990,0.38,0.41,0.81,8,297,24711,Ohio,138.50536054329166,Pittsburgh
C1042,59,59,1991,0.39,0.41,0.83,8,291,25222,Ohio,138.50536054329166,Pittsburgh
C1042,60,60,1992,0.41,0.41,0.82,9,292,26002,Ohio,138.50536054329166,Pittsburgh
C1042,61,61,1993,0.35,0.4,0.78,8,287,25434,Ohio,138.50536054329166,Pittsburgh
C1042,62,62,1994,0.34,0.33,0.83,8,244,28568,Ohio,138.50536054329166,Pittsburgh
C1042,63,63,1995,0.4,0.46,0.75,9,353,26890,Ohio,138.50536054329166,Pittsburgh
C1042,64,64,1996,0.43,0.41,0.73,10,324,27977,Ohio,138.50536054329166,Pittsburgh
C1042,65,65,1997,0.47,0.38,0.77,11,295,30650,Ohio,138.50536054329166,Pittsburgh
