,msa_code,lat,lon,nearest_dist,nearest_location
0,C1202,33.94900784,-83.21378797,110.43413501475223,Atlanta
1,C1206,33.69276543,-84.3995723,6.890451611689225,Atlanta
2,C1210,39.46882951,-74.63373043,97.86119462939868,Princeton
3,C1212,31.12612255,-87.16161987,391.368029975156,Atlanta
4,C1214,41.39758002,-84.99908428,143.6465155734078,Ann Arbor
5,C1218,43.01032673,-76.57435821,63.25459200368908,Ithaca
6,C1222,32.60113648,-85.3555627,156.723719839695,Atlanta
7,C1226,33.46103573,-81.98292935,224.93776164000982,Atlanta
8,C1230,44.40916014,-69.7672644,251.01347140674923,Cambridge
9,C1238,43.67147004,-92.75251359,446.69804596594815,Argonne
10,C1242,30.26260902,-97.65444656,228.31519893806083,Houston
11,C1246,30.87834411,-84.57907015,320.24291129116295,Atlanta
12,C1254,35.34284737,-118.72990039999999,325.9246521213335,San Diego
13,C1258,39.30554235,-76.55100877,48.4349519835297,College Park
14,C1262,45.40051232,-68.64942813,390.0609185499507,Cambridge
15,C1266,43.42666338,-89.94821667,249.7794360936029,Argonne
16,C1268,37.80513127,-85.46598859,351.6968490743374,Urbana-Champaign
17,C1270,41.77344927,-70.23813749,98.17610657401566,Cambridge
18,C1274,44.27338448,-72.61497835,243.7819052523118,Cambridge
19,C1278,36.71523382,-95.90436618,459.9276745151192,Lincoln
20,C1286,43.00093328,-78.19371144,151.44264416062092,Ithaca
21,C1290,35.92675014,-91.53005469,547.546688397517,Urbana-Champaign
22,C1294,30.51788591,-91.12721623,415.7401389459137,Houston
23,C1298,42.24653947,-85.00558349,104.85842588608118,Ann Arbor
24,C1302,43.72136559,-83.94183509,161.22227293713374,Ann Arbor
25,C1306,28.78565055,-96.00398076,124.16630098571163,Houston
26,C1310,40.2619297,-96.68944144,60.5973416658174,Lincoln
27,C1314,30.07647141,-94.20136011,117.2819775749685,Houston
28,C1318,43.41629505,-88.70750674,198.90063461215178,Argonne
29,C1322,37.90623363,-81.16090366,299.1629252821479,Pittsburgh
30,C1326,38.84116289,-86.48345113,207.17178873994382,Urbana-Champaign
31,C1330,28.41739323,-97.74119013,274.88266396792443,Houston
32,C1334,40.38847334,-83.76585017,210.30216093217476,Ann Arbor
33,C1338,48.82961587,-121.8728213,140.22669553313517,Seattle
34,C1342,47.973782899999996,-94.93765445,808.8249031058575,Lincoln
35,C1346,43.9150098,-121.2281418,419.2694426010977,Seattle
36,C1350,34.60206033,-79.67872262,443.1667406669521,Atlanta
37,C1354,43.03545269,-73.09296062,177.91529226816692,Cambridge
38,C1362,44.68949562,-71.30553334,257.99398663476467,Cambridge
39,C1366,43.64076819,-85.32463355,199.24657236393458,Ann Arbor
40,C1370,32.3061695,-101.4355055,644.9014412474954,Houston
41,C1372,36.97442753,-82.62129298,392.23903910504447,Atlanta
42,C1374,45.6399729,-108.82187590000001,596.7406435253183,Salt Lake City
43,C1378,42.16447362,-76.02513267,50.02998373000252,Ithaca
44,C1382,33.40368233,-86.72819336,220.4083241855065,Atlanta
45,C1390,46.88407538,-100.9786102,758.2507591343405,Lincoln
46,C1394,43.21655805,-112.3980785,276.2654940598402,Salt Lake City
47,C1398,37.18690725,-80.59236264,365.46675210650875,Pittsburgh
48,C1401,40.49089162,-88.84732428,66.00574346637926,Urbana-Champaign
49,C1402,39.23471224,-86.67594057,166.1509304110479,Urbana-Champaign
50,C1410,41.04424724,-76.45900771,155.68203420386806,Ithaca
51,C1414,37.21851898,-81.29614002,375.55542773262374,Pittsburgh
52,C1418,35.76390165,-90.05416601,509.32666627230736,Urbana-Champaign
53,C1422,30.85334331,-90.04052688,525.0136240024987,Houston
54,C1426,43.01601416,-116.14324209999998,432.0930102201618,Salt Lake City
55,C1430,33.5938098,-96.10682768,433.24664300820405,Houston
56,C1438,36.23110628,-81.69642507,368.6448664190866,Atlanta
57,C1442,35.84002597,-101.3546994,577.3316663004608,Boulder
58,C1446,42.51789922,-71.02192716,17.615394605656835,Cambridge
59,C1450,40.09245977,-105.3577057,11.368830804149814,Boulder
60,C1454,37.03868663,-86.40706193,377.6004308316337,Urbana-Champaign
61,C1458,45.5403895,-111.170369,534.6682425613642,Salt Lake City
62,C1462,41.80774761,-78.56902513,184.5670471519871,Ithaca
63,C1466,46.79913359,-94.24339922,694.35294597867,Lincoln
64,C1470,36.6547348,-93.04110711,559.2381940856743,Lincoln
65,C1472,39.63417081,-106.1163791,83.72926239431783,Boulder
66,C1474,47.6396466,-122.6491764,24.055073001094826,Seattle
67,C1478,30.21453043,-96.40344376,113.13563476245429,Houston
68,C1482,35.20217786,-82.79830013,217.08393367420723,Atlanta
69,C1486,41.22496008,-73.37120461,145.77251972018072,Princeton
70,C1502,31.53238439,-90.45397124,509.28177563740803,Houston
71,C1506,42.46658066,-124.21522069999999,585.921642757734,Palo Alto
72,C1510,44.36967961,-96.79042101,396.2676842573438,Lincoln
73,C1514,35.58322184,-89.2838358,491.8433288265321,Atlanta
74,C1518,26.15134127,-97.45296801,449.9051965619347,Houston
75,C1522,31.77426242,-98.99979418,414.3543974977624,Houston
76,C1526,31.30553451,-81.58717390000001,378.08232930595113,Atlanta
77,C1534,40.85077257,-82.9197777,172.65279939664546,Ann Arbor
78,C1538,43.037867799999994,-78.77538440000001,197.05247873797302,Ithaca
79,C1542,42.41485936,-113.6086705,232.87180660359473,Salt Lake City
80,C1714,39.10064929,-84.48115992,341.4820012591491,Urbana-Champaign
81,C1722,39.28859436,-80.43042376,133.36015937422704,Pittsburgh
82,C1726,34.22916559,-90.60268702,575.453415798742,Atlanta
83,C1730,36.69294910000001,-87.62305579,384.48636279364683,Urbana-Champaign
84,C1734,39.09964534,-122.75318390000001,191.8752588048794,Palo Alto
85,C1738,33.79553898,-90.88040091,600.1574501145188,Atlanta
86,C1742,35.13455972,-84.66740988,155.68787004399903,Atlanta
87,C1746,41.59235356,-81.66123597,187.56339281825586,Ann Arbor
88,C1750,26.55348985,-81.16590125,858.270965514747,Atlanta
89,C1754,41.89803581,-90.53197243,212.39599353697736,Argonne
90,C1758,34.57419148,-103.34702920000001,628.4133792317915,Boulder
91,C1762,18.09730467,-66.36016992,2498.1255514443314,Atlanta
92,C1764,17.97295401,-66.26197566,2515.340275253577,Atlanta
93,C1766,47.67435663,-116.70176200000002,421.8055009999531,Seattle
94,C1770,37.1925238,-95.74287808,409.9949951381546,Lincoln
95,C1774,41.91611865,-85.05904436,116.70048458550365,Ann Arbor
96,C1778,30.75650952,-96.48891449,155.94289106248374,Houston
97,C1782,38.84250713,-104.6579328,140.5898029176188,Boulder
98,C1786,38.98381004,-92.5793299,392.45913367218964,Urbana-Champaign
99,C1790,34.09175324,-81.04245294,310.80123257144487,Atlanta
100,C1798,32.41820134,-84.84390503,154.50293918137183,Atlanta
101,C1802,39.20597057,-85.89760297,224.86856685412673,Urbana-Champaign
102,C1806,33.47290927,-88.44331349,376.95728584745365,Atlanta
103,C1810,41.57128677,-97.52115699999999,110.26939473907662,Lincoln
104,C1814,39.96812753,-82.83677767,246.90448490260349,Pittsburgh
105,C1818,43.29749626,-71.68027646,112.7459557416112,Cambridge
106,C1822,39.64005585,-85.17872496,266.81032922203605,Urbana-Champaign
107,C1826,36.27800829,-85.46648232,297.4164421876931,Atlanta
108,C1830,43.18516215,-124.0933188,510.4335300095023,Seattle
109,C1838,31.92292992,-83.76810222,211.61128828162052,Atlanta
110,C1842,34.88077146,-88.58026456,405.0018853300729,Atlanta
111,C1846,34.63102561,-83.53113209,125.30959281842806,Atlanta
112,C1850,42.267809,-77.38380325,75.06764975415696,Ithaca
113,C1858,27.8386419,-97.51701843,299.0035908528538,Houston
114,C1862,32.04692918,-96.47248507,276.64789547105465,Houston
115,C1866,42.59500715,-76.07026691,39.1583576758057,Ithaca
116,C1870,44.49179904,-123.42924909999999,356.49780050970736,Seattle
117,C1874,40.30164138,-81.92001074,163.73086990351206,Pittsburgh
118,C1878,40.61842222,-108.2072906,257.8571783245106,Boulder
119,C1882,40.04037852,-86.89329980000001,115.17939628419835,Urbana-Champaign
120,C1886,41.74494237,-123.9578014,503.07751433746466,Palo Alto
121,C2222,36.10833579999999,-94.07548264,569.5327603698353,Lincoln
122,C2226,46.40879596,-95.70800215,627.8066111235028,Lincoln
123,C2228,39.02039772,-119.18919679999999,312.0210616368568,Palo Alto
124,C2230,41.00193838,-83.66653541,142.1735146759922,Ann Arbor
125,C2234,31.75978195,-83.22045897,247.0679613745503,Atlanta
126,C2238,35.83869567,-111.77051270000001,547.4124409165569,Salt Lake City
127,C2242,43.0217229,-83.70671104,82.54724992902615,Ann Arbor
128,C2250,34.15201945,-79.80845001,424.5245509896037,Atlanta
129,C2252,34.80820994,-87.7240012,328.2899475493802,Atlanta
130,C2254,43.75358946,-88.48826311,231.05482484348104,Argonne
131,C2258,35.40259563,-81.91983346,290.85419116553663,Atlanta
132,C2262,35.02199485,-90.74781155,600.4134196650574,Atlanta
133,C2266,40.66641722,-105.4611445,74.21549676757385,Boulder
134,C2270,42.42794917,-94.18177437,275.07592968196906,Lincoln
135,C2278,37.82462505,-92.20766254,426.9990165226784,Urbana-Champaign
136,C2280,40.47457295,-91.41309101,271.7421841236023,Urbana-Champaign
137,C2282,40.26274438,-103.80982220000001,127.18942661285116,Boulder
138,C2284,34.45977296,-85.80414264,152.32293835743403,Atlanta
139,C2286,31.108293699999997,-93.1841467,257.42512752008935,Houston
140,C2290,35.45748986,-94.30915431,629.9089479431167,Lincoln
141,C2306,41.107303,-85.21513399999999,179.31019975163525,Ann Arbor
142,C2314,40.3016906,-86.47515954,151.56152604343882,Urbana-Champaign
143,C2318,38.12390004,-84.93288871,361.40789909147446,Urbana-Champaign
144,C2324,30.318054800000002,-98.94648001,351.1169192303499,Houston
145,C2330,42.3518291,-89.66225429,156.09163590323115,Argonne
146,C2334,41.57788629,-96.6539834,85.76542074897957,Lincoln
147,C2338,41.35741643,-83.14391569,113.53685151393647,Ann Arbor
148,C2342,36.75818013,-119.6493226,233.85224540881413,Palo Alto
149,C2346,34.0452544,-86.03476232,155.55285033692567,Atlanta
150,C2350,35.04819981,-81.62042868,291.72534227604194,Atlanta
151,C2354,29.47914528,-82.63731615,503.3138631633292,Atlanta
152,C2358,34.3168901,-83.81967864,81.5319871287333,Atlanta
153,C2362,33.63920035,-97.21262613,466.66892569625753,Houston
154,C2366,40.93182798,-90.21323826,189.57800727193785,Urbana-Champaign
155,C2370,35.58066419,-108.26182309999999,558.6564735737885,Boulder
156,C2378,38.02663684,-100.97046479999999,432.2202340502267,Boulder
157,C2382,38.9122414,-119.616372,274.7693490810174,Palo Alto
158,C2386,33.41282518,-79.29919770000001,472.7183882200962,Atlanta
159,C2390,39.87145201,-77.21787979,100.95407237334487,College Park
160,C2394,44.2491689,-105.03632079999998,471.21592058838195,Boulder
161,C2398,36.97476956,-85.82160445,381.0604788487536,Atlanta
162,C1888,30.64017524,-86.3676248,393.19315344841704,Atlanta
163,C1890,35.95038791,-84.99835158,250.557024189055,Atlanta
164,C1898,34.13194107,-86.86761946,232.71587349536887,Atlanta
165,C1900,35.39168768,-83.32471943,206.4409542781262,Atlanta
166,C1906,39.53172019,-78.80442004,143.24023335701236,Pittsburgh
167,C1910,32.84950697,-96.97037655,377.1401115765613,Houston
168,C1914,34.79628158,-84.8481082,123.44555538988675,Atlanta
169,C1918,40.18340162,-87.73281521,44.03099492431591,Urbana-Champaign
170,C1922,37.51496128,-84.7334812,419.4026511476607,Atlanta
171,C1926,36.81114516,-79.39761773,324.4163488972054,College Park
172,C1930,30.66096966,-87.74984008,467.2803348623929,Atlanta
173,C1934,41.39687949,-90.46591177,209.58052552380144,Argonne
174,C1942,35.60871145,-84.92439609,212.04854456664287,Atlanta
175,C1943,39.82946151,-84.1419387,274.60016318802354,Ann Arbor
176,C1946,34.49063567,-87.10263586,263.1140315284889,Atlanta
177,C1950,39.86000279,-88.96155193,67.49924688740084,Urbana-Champaign
178,C1954,40.74565993,-84.93665472,197.8621792356913,Ann Arbor
179,C1958,41.323916100000005,-84.49049512,123.46626466337675,Ann Arbor
180,C1962,29.89296014,-101.1517152,559.049531022822,Houston
181,C1966,29.17994438,-81.18984081,591.9936838736891,Atlanta
182,C1970,32.18221555,-107.7497719,884.800408774412,San Diego
183,C1974,39.43371013,-104.8944088,72.19722194976582,Boulder
184,C1976,30.64846873,-93.34333899,217.90762611313514,Houston
185,C1978,41.57566735,-93.76183095,258.828877137995,Lincoln
186,C1982,42.71618189,-83.20581689,64.95037152981895,Ann Arbor
187,C1986,46.90934877,-102.9893262,788.320985824563,Boulder
188,C1994,41.74610544,-89.30030925,109.47810664242847,Argonne
189,C1998,37.69170363,-99.88794238,442.88539811839195,Lincoln
190,C2002,31.25289406,-85.46172515,295.7980184134144,Atlanta
191,C2006,31.45770233,-82.86038262,292.58661514118785,Atlanta
192,C2010,39.09595454,-75.5046137,124.33482117978143,College Park
193,C2014,32.50958936,-82.80749635,201.86715871094745,Atlanta
194,C2018,41.00019185,-78.47412511,142.54057891779004,Pittsburgh
195,C2022,42.46882243,-90.88252185,253.7967990988482,Argonne
196,C2026,47.36874724,-92.15102979999999,710.5248712182063,Argonne
197,C2030,35.83768725,-101.8929228,550.8200310228582,Boulder
198,C2034,34.48557985,-97.85153066,576.4961705568182,Houston
199,C2042,37.28658195,-107.84327069999999,376.7302699945294,Boulder
200,C2046,33.96224042,-96.25976209,476.05637387906523,Houston
201,C2050,36.062839399999994,-78.99706351,372.6607225734724,College Park
202,C2054,36.0590578,-89.41376595,462.624129909046,Urbana-Champaign
203,C2058,28.74259013,-100.3145142,493.6710744577551,Houston
204,C2066,38.74910018,-76.17861706,70.96166411500253,College Park
205,C2070,41.05806562,-75.33951546,97.52624468582216,Princeton
206,C2074,44.93880042,-91.28220958,447.3867442786386,Argonne
207,C2078,39.62782562,-106.6952993,129.0671323943225,Boulder
208,C2082,39.05978194,-88.58985336,121.18328519722229,Urbana-Champaign
209,C2090,29.27786165,-96.22210424,98.6904636819548,Houston
210,C2094,33.03959043,-115.36533700000001,171.5168088395828,San Diego
211,C2098,33.17135754,-92.59729138,461.82369935785835,Houston
212,C2102,36.21833315,-76.33345941,312.72489237400475,College Park
213,C2106,37.73774027,-85.97388659999999,329.36535063681816,Urbana-Champaign
214,C2112,35.2687044,-99.68195637,669.4118266907742,Lincoln
215,C2114,41.59738448,-85.85875528,176.83812073963668,Argonne
216,C2118,38.77472312,-79.87579557,185.52539496533282,Pittsburgh
217,C2122,40.92175605,-115.53332560000001,306.8951509714166,Salt Lake City
218,C2126,47.12426615,-120.6796832,135.49350041702004,Seattle
219,C2130,42.14124735,-76.76002604,39.79768353986395,Ithaca
220,C2134,31.51308276,-105.5410469,945.6831090581874,Boulder
221,C2138,38.3828637,-96.36255636,270.91946294728325,Lincoln
222,C2142,36.37906146,-97.78272279,501.54923695222294,Lincoln
223,C2146,31.40262718,-85.98820693,301.44342210139956,Atlanta
224,C2150,42.11747624,-80.09810636,186.65322193338685,Pittsburgh
225,C2154,45.79163646,-86.87059665,462.6275886769304,Argonne
226,C2158,36.50958027,-106.6930837,409.07552709091,Boulder
227,C2164,31.86926064,-85.33675402,227.5894405601632,Atlanta
228,C2166,43.9416929,-122.8762139,409.65270735462695,Seattle
229,C2170,40.70500908,-123.91581950000001,393.7716954566016,Palo Alto
230,C2174,41.28749192,-110.5475617,127.0109843008289,Salt Lake City
231,C2178,37.97110786,-87.57908329,245.34560852354113,Urbana-Champaign
232,C2182,64.80776616,-146.56542290000002,2398.2649816752933,Seattle
233,C2184,41.03176207,-91.94887288,329.0673861608841,Urbana-Champaign
234,C2186,43.67436209,-94.55107033,363.8756950832596,Lincoln
235,C2190,39.50999507,-80.24339834,105.6085989515083,Pittsburgh
236,C2198,39.58087638,-118.33577890000001,407.7407166613074,Palo Alto
237,C2202,46.91781095,-96.96548784,679.8869479415706,Lincoln
238,C2206,44.3542643,-93.29667831,481.9843123846487,Lincoln
239,C2210,37.81028305,-90.4722676,320.7413474446572,Urbana-Champaign
240,C2214,36.50851078,-108.32060320000001,472.089925857593,Boulder
241,C2218,35.15807853,-78.9398428,461.5622870708138,College Park
242,C1546,40.87288481,-91.05876358,252.47668006372356,Urbana-Champaign
243,C1550,36.04370988,-79.39942482,392.9542875976164,College Park
244,C1554,44.6872265,-73.03078137,300.2249905945711,Cambridge
245,C1558,45.90240445,-112.6567135,575.0594276726347,Salt Lake City
246,C1562,44.33784429,-85.33687074,263.1213210046234,Ann Arbor
247,C1566,34.50317019,-84.87591393,94.73621241958486,Atlanta
248,C1568,38.2158624,-76.52906066,93.08913007559029,College Park
249,C1570,38.42260804,-76.08332531,97.33238550672499,College Park
250,C1574,40.05205365,-81.49425622,134.30736143088924,Pittsburgh
251,C1578,33.57707985,-92.70734896,493.96789568677525,Houston
252,C1582,37.31423322,-85.44277854,395.0818428242587,Urbana-Champaign
253,C1586,38.47297247,-105.4396571,172.0813291656254,Boulder
254,C1594,40.71866104,-81.25349226,110.61544875668612,Pittsburgh
255,C1598,26.57568966,-81.91545273,832.6721439107125,Atlanta
256,C1602,37.32449346,-89.7698373,337.4952824550494,Urbana-Champaign
257,C1606,37.68653587,-89.11313288,280.47091247321134,Urbana-Champaign
258,C1610,32.47146286,-104.30446579999999,843.248094131347,Boulder
259,C1614,42.03623822,-94.86055928,204.30539450791713,Lincoln
260,C1618,39.15114643,-119.7474223,282.5187885353869,Palo Alto
261,C1622,42.96224045,-106.7984938,351.5479912651286,Boulder
262,C1626,37.85919313,-113.2894658,344.33066416312175,Salt Lake City
263,C1630,42.09147231,-91.63133096,304.98286090059884,Argonne
264,C1634,34.00178449,-85.18815338,78.99323759510641,Atlanta
265,C1638,40.54001137,-84.62936034,207.39764323599644,Ann Arbor
266,C1642,37.21579227,-87.14204166,336.40055520673184,Urbana-Champaign
267,C1646,38.64957811,-88.91898112,173.1283925536406,Urbana-Champaign
268,C1650,46.57776818,-122.39263840000001,114.44944034782912,Seattle
269,C1654,39.92741467,-77.72124493,124.07938051206443,College Park
270,C1658,40.10048926,-88.31879621,6.651664674466046,Urbana-Champaign
271,C1662,38.35610804,-81.61904946,270.5015439563985,Pittsburgh
272,C1666,39.42053432,-88.22920472,77.38635089768823,Urbana-Champaign
273,C1670,33.01650936,-80.01058633,414.42648514910337,Atlanta
